sample_id,task_id,ground_truth,base_nll,single0_nll,single1_nll,pair_l2_nll,pair_direct_sum_nll,rank16_nll,base_prediction,single0_prediction,single1_prediction,pair_l2_prediction,pair_direct_sum_prediction,rank16_prediction,base_correct,single0_correct,single1_correct,pair_l2_correct,pair_direct_sum_correct,rank16_correct,best_single_selection,best_single_nll,best_single_correct,pair_best_selection,pair_best_nll,pair_best_correct,synergy,pair_minus_rank16_nll,pair_exclusive_nll,oracle_a_selection,oracle_a_nll,oracle_a_correct,oracle_b_selection,oracle_b_nll,oracle_b_correct
UCIT/ImageNet-R:14,UCIT/ImageNet-R,Goldfish,2.567014455795288,0.005089125130325556,3.07901668548584,0.0026213161181658506,0.0025449800305068493,0.0015256525948643684,Fish,Goldfish,Painting,Goldfish,Goldfish,Goldfish,False,True,False,True,True,True,single0,0.005089125130325556,True,pair_direct_sum,0.0025449800305068493,True,0.0025441450998187065,0.0010193274356424809,False,pair_direct_sum,0.0025449800305068493,True,rank16,0.0015256525948643684,True
UCIT/ImageNet-R:15,UCIT/ImageNet-R,Pineapple,0.010856329463422298,0.00013158349611330777,0.0029912148602306843,4.499832357396372e-05,6.421916623366997e-05,1.0967137313855346e-05,Pineapple,Pineapple,Pineapple,Pineapple,Pineapple,Pineapple,True,True,True,True,True,True,single0,0.00013158349611330777,True,pair_l2,4.499832357396372e-05,True,8.658517253934406e-05,3.403118626010837e-05,False,pair_l2,4.499832357396372e-05,True,rank16,1.0967137313855346e-05,True
UCIT/ImageNet-R:16,UCIT/ImageNet-R,Pug,3.3094863891601562,0.2718624770641327,3.385042428970337,0.32565435767173767,0.20579500496387482,0.22738228738307953,Dog,Pug,Dog,Pug,Pug,Pug,False,True,False,True,True,True,single0,0.2718624770641327,True,pair_direct_sum,0.20579500496387482,True,0.06606747210025787,-0.021587282419204712,True,pair_direct_sum,0.20579500496387482,True,pair_direct_sum,0.20579500496387482,True
UCIT/ImageNet-R:17,UCIT/ImageNet-R,Mushroom,2.9011459350585938,1.1699740886688232,2.920776844024658,1.20583975315094,1.3613903522491455,0.9622065424919128,Toy,Volcano,Toy,Volcano,Volcano,Volcano,False,False,False,False,False,False,single0,1.1699740886688232,False,pair_l2,1.20583975315094,False,-0.0358656644821167,0.2436332106590271,False,single0,1.1699740886688232,False,rank16,0.9622065424919128,False
UCIT/ImageNet-R:18,UCIT/ImageNet-R,Bell pepper,2.483214855194092,0.010015614330768585,2.5042901039123535,0.03597066178917885,0.006439900491386652,0.0034475538413971663,Pumpkin,Bell pepper,Pumpkin,Bell pepper,Bell pepper,Bell pepper,False,True,False,True,True,True,single0,0.010015614330768585,True,pair_direct_sum,0.006439900491386652,True,0.003575713839381933,0.0029923466499894857,False,pair_direct_sum,0.006439900491386652,True,rank16,0.0034475538413971663,True
UCIT/ImageNet-R:19,UCIT/ImageNet-R,Carousel,0.08899373561143875,0.0002596207777969539,0.055475398898124695,0.00028960491181351244,8.093420910881832e-05,0.00032349838875234127,Carousel,Carousel,Carousel,Carousel,Carousel,Carousel,True,True,True,True,True,True,single0,0.0002596207777969539,True,pair_direct_sum,8.093420910881832e-05,True,0.0001786865686881356,-0.00024256417964352295,True,pair_direct_sum,8.093420910881832e-05,True,pair_direct_sum,8.093420910881832e-05,True
UCIT/ImageNet-R:20,UCIT/ImageNet-R,Common newt,5.338496685028076,0.25181663036346436,5.7762885093688965,0.1333635300397873,0.13711518049240112,0.11576029658317566,Painting,African chameleon,Painting,Common newt,Common newt,Common newt,False,False,False,True,True,True,single0,0.25181663036346436,False,pair_l2,0.1333635300397873,True,0.11845310032367706,0.017603233456611633,False,pair_l2,0.1333635300397873,True,rank16,0.11576029658317566,True
UCIT/ImageNet-R:21,UCIT/ImageNet-R,Chihuahua,1.098454475402832,0.019695822149515152,1.2493377923965454,0.012360855005681515,0.013240872882306576,0.008118261583149433,Drawing,Chihuahua,Drawing,Chihuahua,Chihuahua,Chihuahua,False,True,False,True,True,True,single0,0.019695822149515152,True,pair_l2,0.012360855005681515,True,0.007334967143833637,0.004242593422532082,False,pair_l2,0.012360855005681515,True,rank16,0.008118261583149433,True
UCIT/ImageNet-R:22,UCIT/ImageNet-R,"""spider web",4.491349220275879,0.0007602922851219773,5.1738972663879395,0.015753474086523056,0.00036752037703990936,0.00019592317403294146,Cake,"""spider web",Cake,"""spider web","""spider web","""spider web",False,True,False,True,True,True,single0,0.0007602922851219773,True,pair_direct_sum,0.00036752037703990936,True,0.00039277190808206797,0.0001715972030069679,False,pair_direct_sum,0.00036752037703990936,True,rank16,0.00019592317403294146,True
UCIT/ImageNet-R:23,UCIT/ImageNet-R,Soccer ball,0.17684508860111237,0.00035878841299563646,0.1531086564064026,0.0003590610867831856,0.000265653885435313,0.00034261250402778387,Soccer ball,Soccer ball,Soccer ball,Soccer ball,Soccer ball,Soccer ball,True,True,True,True,True,True,single0,0.00035878841299563646,True,pair_direct_sum,0.000265653885435313,True,9.313452756032348e-05,-7.695861859247088e-05,True,pair_direct_sum,0.000265653885435313,True,pair_direct_sum,0.000265653885435313,True
UCIT/ImageNet-R:24,UCIT/ImageNet-R,Missile,2.304743528366089,0.10676408559083939,2.7677745819091797,0.08645259588956833,0.048854559659957886,0.0613093264400959,Rocket,Missile,Rocket,Missile,Missile,Missile,False,True,False,True,True,True,single0,0.10676408559083939,True,pair_direct_sum,0.048854559659957886,True,0.0579095259308815,-0.012454766780138016,True,pair_direct_sum,0.048854559659957886,True,pair_direct_sum,0.048854559659957886,True
UCIT/ImageNet-R:25,UCIT/ImageNet-R,Drake,3.4331204891204834,0.018912315368652344,3.7777717113494873,0.047844693064689636,0.007639164570719004,0.0025245968718081713,Tattoo,Drake,Tattoo,Drake,Drake,Drake,False,True,False,True,True,True,single0,0.018912315368652344,True,pair_direct_sum,0.007639164570719004,True,0.01127315079793334,0.005114567698910832,False,pair_direct_sum,0.007639164570719004,True,rank16,0.0025245968718081713,True
UCIT/ImageNet-R:26,UCIT/ImageNet-R,Boston bull,4.147910118103027,0.0005756237078458071,5.101824760437012,0.0009278453653678298,0.00024043352459557354,0.0008143612067215145,Pillow,Boston bull,Pillow,Boston bull,Boston bull,Boston bull,False,True,False,True,True,True,single0,0.0005756237078458071,True,pair_direct_sum,0.00024043352459557354,True,0.00033519018325023353,-0.0005739276821259409,True,pair_direct_sum,0.00024043352459557354,True,pair_direct_sum,0.00024043352459557354,True
UCIT/ImageNet-R:27,UCIT/ImageNet-R,Espresso,2.0686278343200684,0.001177809084765613,2.4098548889160156,0.007115071639418602,0.0009621661156415939,0.0031757752876728773,Coffee cup,Espresso,Coffee,Espresso,Espresso,Espresso,False,True,False,True,True,True,single0,0.001177809084765613,True,pair_direct_sum,0.0009621661156415939,True,0.00021564296912401915,-0.0022136091720312834,True,pair_direct_sum,0.0009621661156415939,True,pair_direct_sum,0.0009621661156415939,True
UCIT/ImageNet-R:28,UCIT/ImageNet-R,Mushroom,0.5661800503730774,0.5104385018348694,0.3476749062538147,0.6369727253913879,0.6769272685050964,1.1298096179962158,Mushroom,Missile,Mushroom,Missile,Missile,Missile,True,False,True,False,False,False,single1,0.3476749062538147,True,pair_l2,0.6369727253913879,False,-0.28929781913757324,-0.4928368926048279,False,single1,0.3476749062538147,True,pair_l2,0.6369727253913879,False
UCIT/ImageNet-R:29,UCIT/ImageNet-R,Standard poodle,3.4551055431365967,1.0523784160614014,4.060064315795898,1.465620517730713,1.0765116214752197,0.7409881949424744,Chicken,Hen,Chicken,Hen,Hen,Hen,False,False,False,False,False,False,single0,1.0523784160614014,False,pair_direct_sum,1.0765116214752197,False,-0.02413320541381836,0.33552342653274536,False,single0,1.0523784160614014,False,rank16,0.7409881949424744,False
UCIT/ImageNet-R:30,UCIT/ImageNet-R,Hammerhead,2.472414970397949,0.0707109123468399,2.448160409927368,0.11943799257278442,0.08747516572475433,0.11928237974643707,Shark,Hammerhead,Shark,Hammerhead,Hammerhead,Hammerhead,False,True,False,True,True,True,single0,0.0707109123468399,True,pair_direct_sum,0.08747516572475433,True,-0.01676425337791443,-0.03180721402168274,False,single0,0.0707109123468399,True,pair_direct_sum,0.08747516572475433,True
UCIT/ImageNet-R:31,UCIT/ImageNet-R,Flamingo,0.5479418635368347,0.0005229669623076916,0.6862908005714417,0.00016680939006619155,0.00016198420780710876,0.0004299184074625373,Stuffed animal,Flamingo,Stuffed animal,Flamingo,Flamingo,Flamingo,False,True,False,True,True,True,single0,0.0005229669623076916,True,pair_direct_sum,0.00016198420780710876,True,0.0003609827545005828,-0.00026793419965542853,True,pair_direct_sum,0.00016198420780710876,True,pair_direct_sum,0.00016198420780710876,True
UCIT/ImageNet-R:32,UCIT/ImageNet-R,Gorilla,1.4908498525619507,0.148535817861557,1.8402613401412964,0.080593541264534,0.10601168870925903,0.013497278094291687,Drawing,Gorilla,Drawing,Gorilla,Gorilla,Gorilla,False,True,False,True,True,True,single0,0.148535817861557,True,pair_l2,0.080593541264534,True,0.06794227659702301,0.06709626317024231,False,pair_l2,0.080593541264534,True,rank16,0.013497278094291687,True
UCIT/ImageNet-R:33,UCIT/ImageNet-R,Giant panda,2.3995492458343506,0.0008399997605010867,2.8071563243865967,0.006913154385983944,0.0002692434936761856,0.00013228865282144397,Stuffed panda,Giant panda,Stuffed panda,Giant panda,Giant panda,Giant panda,False,True,False,True,True,True,single0,0.0008399997605010867,True,pair_direct_sum,0.0002692434936761856,True,0.0005707562668249011,0.00013695484085474163,False,pair_direct_sum,0.0002692434936761856,True,rank16,0.00013228865282144397,True
UCIT/ImageNet-R:34,UCIT/ImageNet-R,Acorn,4.738401889801025,1.5928252935409546,5.233482837677002,1.8605235815048218,1.572049617767334,1.729779839515686,Cake,Bee,Cake,Bee,Bee,Bee,False,False,False,False,False,False,single0,1.5928252935409546,False,pair_direct_sum,1.572049617767334,False,0.020775675773620605,-0.15773022174835205,True,pair_direct_sum,1.572049617767334,False,pair_direct_sum,1.572049617767334,False
UCIT/ImageNet-R:35,UCIT/ImageNet-R,Jellyfish,1.4072684049606323,0.0009637090843170881,1.4001754522323608,0.00042235851287841797,0.00025574033497832716,0.00013101678632665426,Kite,Jellyfish,Kite,Jellyfish,Jellyfish,Jellyfish,False,True,False,True,True,True,single0,0.0009637090843170881,True,pair_direct_sum,0.00025574033497832716,True,0.000707968749338761,0.0001247235486516729,False,pair_direct_sum,0.00025574033497832716,True,rank16,0.00013101678632665426,True
UCIT/ImageNet-R:36,UCIT/ImageNet-R,Beaver,1.2385343313217163,0.0382719524204731,1.2629505395889282,0.032946523278951645,0.023368172347545624,0.023670559749007225,Bear,Beaver,Bear,Beaver,Beaver,Beaver,False,True,False,True,True,True,single0,0.0382719524204731,True,pair_direct_sum,0.023368172347545624,True,0.014903780072927475,-0.00030238740146160126,True,pair_direct_sum,0.023368172347545624,True,pair_direct_sum,0.023368172347545624,True
UCIT/ImageNet-R:37,UCIT/ImageNet-R,Ice bear,3.034804582595825,0.000643298786599189,3.756500005722046,0.011863685213029385,0.000277052546152845,0.000136906499392353,Bear,Ice bear,Bear,Ice bear,Ice bear,Ice bear,False,True,False,True,True,True,single0,0.000643298786599189,True,pair_direct_sum,0.000277052546152845,True,0.000366246240446344,0.00014014604676049203,False,pair_direct_sum,0.000277052546152845,True,rank16,0.000136906499392353,True
UCIT/ImageNet-R:38,UCIT/ImageNet-R,Toucan,1.319831132888794,0.00024446917814202607,1.6461234092712402,0.00025966038811020553,0.00014724857464898378,0.0003114066203124821,Bird,Toucan,Bird,Toucan,Toucan,Toucan,False,True,False,True,True,True,single0,0.00024446917814202607,True,pair_direct_sum,0.00014724857464898378,True,9.722060349304229e-05,-0.00016415804566349834,True,pair_direct_sum,0.00014724857464898378,True,pair_direct_sum,0.00014724857464898378,True
UCIT/ImageNet-R:39,UCIT/ImageNet-R,Basset,4.417194843292236,0.030701644718647003,4.675858020782471,0.12161742895841599,0.027002200484275818,0.10832592844963074,Dog,Basset,Painting,Basset,Basset,Basset,False,True,False,True,True,True,single0,0.030701644718647003,True,pair_direct_sum,0.027002200484275818,True,0.0036994442343711853,-0.08132372796535492,True,pair_direct_sum,0.027002200484275818,True,pair_direct_sum,0.027002200484275818,True
UCIT/ImageNet-R:40,UCIT/ImageNet-R,West highland white terrier,1.9428988695144653,0.02049659565091133,2.1694374084472656,0.014811164699494839,0.010186382569372654,0.010802038945257664,Dog,West highland white terrier,Dog,West highland white terrier,West highland white terrier,West highland white terrier,False,True,False,True,True,True,single0,0.02049659565091133,True,pair_direct_sum,0.010186382569372654,True,0.010310213081538677,-0.0006156563758850098,True,pair_direct_sum,0.010186382569372654,True,pair_direct_sum,0.010186382569372654,True
UCIT/ImageNet-R:41,UCIT/ImageNet-R,Hippopotamus,1.4412986040115356,0.002466154983267188,1.6113519668579102,0.005657572764903307,0.0017653520917519927,0.007524474989622831,Stuffed animal,Hippopotamus,Stuffed animal,Hippopotamus,Hippopotamus,Hippopotamus,False,True,False,True,True,True,single0,0.002466154983267188,True,pair_direct_sum,0.0017653520917519927,True,0.0007008028915151954,-0.005759122897870839,True,pair_direct_sum,0.0017653520917519927,True,pair_direct_sum,0.0017653520917519927,True
UCIT/ImageNet-R:42,UCIT/ImageNet-R,Accordion,0.5103877186775208,0.0016561602242290974,0.3524370789527893,0.0007444805232807994,0.00044974935008212924,0.00030453738872893155,Piano,Accordion,Piano,Accordion,Accordion,Accordion,False,True,False,True,True,True,single0,0.0016561602242290974,True,pair_direct_sum,0.00044974935008212924,True,0.0012064108741469681,0.0001452119613531977,False,pair_direct_sum,0.00044974935008212924,True,rank16,0.00030453738872893155,True
UCIT/ImageNet-R:43,UCIT/ImageNet-R,Revolver,2.9996280670166016,0.00023349026741925627,3.4263079166412354,0.0006163810030557215,0.0001614102948224172,0.00048419786617159843,Gun,Revolver,Gun,Revolver,Revolver,Revolver,False,True,False,True,True,True,single0,0.00023349026741925627,True,pair_direct_sum,0.0001614102948224172,True,7.207997259683907e-05,-0.00032278757134918123,True,pair_direct_sum,0.0001614102948224172,True,pair_direct_sum,0.0001614102948224172,True
UCIT/ImageNet-R:44,UCIT/ImageNet-R,Cheeseburger,1.2426520586013794,0.0001442741195205599,1.1550954580307007,0.000307457463350147,5.0015740271192044e-05,7.33029082766734e-05,Table,Cheeseburger,Toy,Cheeseburger,Cheeseburger,Cheeseburger,False,True,False,True,True,True,single0,0.0001442741195205599,True,pair_direct_sum,5.0015740271192044e-05,True,9.425837924936786e-05,-2.3287168005481362e-05,True,pair_direct_sum,5.0015740271192044e-05,True,pair_direct_sum,5.0015740271192044e-05,True
UCIT/ImageNet-R:45,UCIT/ImageNet-R,Goldfinch,1.832999587059021,0.009157801978290081,2.029660940170288,0.013489708304405212,0.002493285806849599,0.003220728598535061,Bird,Goldfinch,Bird,Goldfinch,Goldfinch,Goldfinch,False,True,False,True,True,True,single0,0.009157801978290081,True,pair_direct_sum,0.002493285806849599,True,0.006664516171440482,-0.000727442791685462,True,pair_direct_sum,0.002493285806849599,True,pair_direct_sum,0.002493285806849599,True
UCIT/ImageNet-R:46,UCIT/ImageNet-R,Accordion,0.0053747184574604034,0.00018798085511662066,0.0012896362459287047,9.05324995983392e-05,6.299845699686557e-05,7.908931002020836e-05,Accordion,Accordion,Accordion,Accordion,Accordion,Accordion,True,True,True,True,True,True,single0,0.00018798085511662066,True,pair_direct_sum,6.299845699686557e-05,True,0.0001249823981197551,-1.6090853023342788e-05,True,pair_direct_sum,6.299845699686557e-05,True,pair_direct_sum,6.299845699686557e-05,True
UCIT/ImageNet-R:47,UCIT/ImageNet-R,Sax,1.3699133396148682,0.00020907059661112726,1.572840690612793,0.0015399139374494553,8.088005415629596e-05,0.00021478370763361454,Saxophone,Sax,Saxophone,Sax,Sax,Sax,False,True,False,True,True,True,single0,0.00020907059661112726,True,pair_direct_sum,8.088005415629596e-05,True,0.0001281905424548313,-0.00013390365347731858,True,pair_direct_sum,8.088005415629596e-05,True,pair_direct_sum,8.088005415629596e-05,True
UCIT/ImageNet-R:48,UCIT/ImageNet-R,"""spider web",4.365396976470947,0.0014507585437968373,5.243871212005615,0.034819696098566055,0.0013292257208377123,0.0006981875048950315,Spider,"""spider web",Spider,"""spider web","""spider web","""spider web",False,True,False,True,True,True,single0,0.0014507585437968373,True,pair_direct_sum,0.0013292257208377123,True,0.00012153282295912504,0.0006310382159426808,False,pair_direct_sum,0.0013292257208377123,True,rank16,0.0006981875048950315,True
UCIT/ImageNet-R:49,UCIT/ImageNet-R,Revolver,3.2819888591766357,0.00029181732679717243,3.7705118656158447,0.0012487276690080762,0.00012252481246832758,0.0016026602825149894,Gun,Revolver,Gun,Revolver,Revolver,Revolver,False,True,False,True,True,True,single0,0.00029181732679717243,True,pair_direct_sum,0.00012252481246832758,True,0.00016929251432884485,-0.0014801354700466618,True,pair_direct_sum,0.00012252481246832758,True,pair_direct_sum,0.00012252481246832758,True
UCIT/ImageNet-R:50,UCIT/ImageNet-R,Sea lion,1.6285374164581299,0.03348936140537262,2.197448253631592,0.03254970908164978,0.027030006051063538,0.008378112688660622,Card,Sea lion,Card,Sea lion,Sea lion,Sea lion,False,True,False,True,True,True,single0,0.03348936140537262,True,pair_direct_sum,0.027030006051063538,True,0.006459355354309082,0.018651893362402916,False,pair_direct_sum,0.027030006051063538,True,rank16,0.008378112688660622,True
UCIT/ImageNet-R:51,UCIT/ImageNet-R,Koala,2.6058220863342285,0.000260209635598585,2.5631630420684814,0.0005542110302485526,8.550716302124783e-05,0.00018425403686705977,Umbrella,Koala,Umbrella,Koala,Koala,Koala,False,True,False,True,True,True,single0,0.000260209635598585,True,pair_direct_sum,8.550716302124783e-05,True,0.00017470247257733718,-9.874687384581193e-05,True,pair_direct_sum,8.550716302124783e-05,True,pair_direct_sum,8.550716302124783e-05,True
UCIT/ImageNet-R:52,UCIT/ImageNet-R,Ice cream,2.000828981399536,0.009550709277391434,2.1547579765319824,0.00805714912712574,0.009753750637173653,0.006294009741395712,Picture,Ice cream,Picture,Ice cream,Ice cream,Ice cream,False,True,False,True,True,True,single0,0.009550709277391434,True,pair_l2,0.00805714912712574,True,0.0014935601502656937,0.0017631393857300282,False,pair_l2,0.00805714912712574,True,rank16,0.006294009741395712,True
UCIT/ImageNet-R:53,UCIT/ImageNet-R,Cocker spaniel,2.949770927429199,0.06566701829433441,3.279486894607544,0.07598330080509186,0.03702300414443016,0.10850223153829575,Rug,Cocker spaniel,Rug,Cocker spaniel,Cocker spaniel,Cocker spaniel,False,True,False,True,True,True,single0,0.06566701829433441,True,pair_direct_sum,0.03702300414443016,True,0.02864401414990425,-0.07147922739386559,True,pair_direct_sum,0.03702300414443016,True,pair_direct_sum,0.03702300414443016,True
UCIT/ImageNet-R:54,UCIT/ImageNet-R,Siberian husky,1.4732729196548462,0.024385767057538033,1.5127028226852417,0.01877787336707115,0.009613719768822193,0.04311974719166756,Dog,Siberian husky,Dog,Siberian husky,Siberian husky,Siberian husky,False,True,False,True,True,True,single0,0.024385767057538033,True,pair_direct_sum,0.009613719768822193,True,0.01477204728871584,-0.033506027422845364,True,pair_direct_sum,0.009613719768822193,True,pair_direct_sum,0.009613719768822193,True
UCIT/ImageNet-R:55,UCIT/ImageNet-R,Monarch,3.682328224182129,0.00234411284327507,3.534916639328003,0.0008736879099160433,0.0008023527334444225,0.0013519242638722062,Painting,Monarch,Painting,Monarch,Monarch,Monarch,False,True,False,True,True,True,single0,0.00234411284327507,True,pair_direct_sum,0.0008023527334444225,True,0.0015417601098306477,-0.0005495715304277837,True,pair_direct_sum,0.0008023527334444225,True,pair_direct_sum,0.0008023527334444225,True
UCIT/ImageNet-R:56,UCIT/ImageNet-R,Wood rabbit,3.4263055324554443,0.15866078436374664,3.9542291164398193,0.12115857005119324,0.11284439265727997,0.1130337119102478,Painting,Wood rabbit,Painting,Wood rabbit,Wood rabbit,Wood rabbit,False,True,False,True,True,True,single0,0.15866078436374664,True,pair_direct_sum,0.11284439265727997,True,0.045816391706466675,-0.00018931925296783447,True,pair_direct_sum,0.11284439265727997,True,pair_direct_sum,0.11284439265727997,True
UCIT/ImageNet-R:57,UCIT/ImageNet-R,Flamingo,0.17475050687789917,4.5683456846745685e-05,0.21423467993736267,2.1606085283565335e-05,1.6986958144116215e-05,5.533725197892636e-05,Flamingo,Flamingo,Flamingo,Flamingo,Flamingo,Flamingo,True,True,True,True,True,True,single0,4.5683456846745685e-05,True,pair_direct_sum,1.6986958144116215e-05,True,2.869649870262947e-05,-3.8350293834810145e-05,True,pair_direct_sum,1.6986958144116215e-05,True,pair_direct_sum,1.6986958144116215e-05,True
UCIT/ImageNet-R:58,UCIT/ImageNet-R,Anemone fish,3.2788548469543457,0.001362663577310741,3.82011079788208,0.0025503188371658325,0.0010231243213638663,0.0057034543715417385,Fish,Anemone fish,Fish,Anemone fish,Anemone fish,Anemone fish,False,True,False,True,True,True,single0,0.001362663577310741,True,pair_direct_sum,0.0010231243213638663,True,0.0003395392559468746,-0.004680330050177872,True,pair_direct_sum,0.0010231243213638663,True,pair_direct_sum,0.0010231243213638663,True
